"section","url","title","published_date","content","clean_title","clean_content"
"science-technology","https://www.risingbd.com/english/science-technology/news/111452","Children`s exceptional Eid celebration in Gazipur","04/04/2025","The children in Sreepur upazila of Gazipur have celebrated the joy of Eid-ul-fitr in a special manner on Wednesday. Seeing the joyous celebration of children there, it may seem like Eid is not over yet. The event was held on Wednesday afternoon at the Kafurchala field in Pabriachala village of Sreepur upazila in Gazipur. Children were seen running, playing with balloons, flutes and other toys in the greenery. This exceptional event was called 'Children's Eid Ananda'. Paruli Social Cultural Organization arranged the event. People from various walks of life, including Selim Reza, Deputy Director of the Interim Government's Ministry of Posts, Telecommunications and Information Technology, Sayeed Chowdhury, President of the Sreepur branch of the River Travelers' Party, and others were joined the event to share the joy with the children. While visiting the area, this reporter found the field became a center for parents and children around 4 pm. Meanwhile, an announcement came from the stage that a drawing competition was about to begin. Upon hearing the announcement, more than a hundred children sat on the green grass and started drawing pictures as they wished. Almost all the children participated in this 15-minute drawing competition. On the south side of the field, preparations were underway for a running competition for children of different ages. At the whistle signal, they were busy trying to see who could run and touch the rope on the opposite side of the field before anyone else. The next stage was the children's biscuit race. Children of different ages jumped up and down trying to get biscuits tied to a string in their mouths. NativeClick Ads As the afternoon approached, a ball throwing event was also held in the east-south corner of the field. Just before evening, there was a 'chair sitting' game for mothers who came with their children. After 30 minutes, game got the winner. Then, there was a magic show on stage. Artist Khalilur Rahman showed one amazing magic trick after another to increase the joy of the children. Apart from these, there was an opportunity for children to sing songs and recite poems and rhymes on stage throughout the afternoon. The children expressed great excitement participating in these games. A child named Amatul said that he enjoyed the event very much. Another child, Sifat, said that he participated in this Eid event and received a prize. Nusrat exclaimed that she was very happy to come to the event with her mother. At the end of the program, Deputy Director of the Ministry of Posts, Telecommunications and Information Technology, Selim Reza, addressed the children.","child except eid celebr gazipur","child sreepur upazila gazipur celebr joi eidulfitr special manner wednesdai see joyou celebr child mai seem like eid yet event hold wednesdai afternoon kafurchala field pabriachala villag sreepur upazila gazipur child see run plai balloon flute toi greeneri except event call child eid ananda paruli social cultur organ arrang event peopl variou walk life includ selim reza deputi director interim govern ministri post telecommun inform technologi saye chowdhuri presid sreepur branch river travel parti other join event share joi child visit area report find field becam center parent child around prime minist meanwhil announc come stage draw competit begin upon hear announc hundr child sit green grass start draw pictur wish almost child particip minut draw competit south side field prepar underwai run competit child differ ag whistl signal busi try see run touch rope opposit side field anyon el next stage child biscuit race child differ ag jump try get biscuit ti string mouth nativeclick ad afternoon approach ball throw event also hold eastsouth corner field just even chair sit game mother come child minut game get winner magic show stage artist khalilur rahman show on amaz magic trick anoth increas joi child apart opportun child sing song recit poem rhyme stage throughout afternoon child express great excit particip game child name amatul say enjoi event much anoth child sifat say particip eid event receiv prize nusrat exclaim happi come event mother end program deputi director ministri post telecommun inform technologi selim reza address child"
"science-technology","https://www.risingbd.com/english/science-technology/news/111453","Canadian cricket captain arrested","04/04/2025","Cricket Canada says it is ""actively monitoring"" the situation after captain Nicholas Kirton was arrested in the Caribbean. Local reports say the 26-year-old was detained at Barbados Airport on Sunday on potential drugs charges, reports BBC. ""We are actively monitoring the situation and closely following developments as they unfold,"" Cricket Canada said in a statement. ""We take this matter seriously and remain steadfast in upholding the highest standards of integrity and accountability within the sport."" BBC Sport has contacted Barbados police for comment. Kirton was born in Barbados but is eligible to play for Canada through his mother. He represented West Indies Under-19s before emigrating to Canada, making his international debut in a T20 match against Oman in 2019. The batting all-rounder, who has played 21 one-day internationals and 28 T20Is, was appointed as captain in July 2024. NativeClick Ads Canada are preparing for the inaugural North American Cup - also featuring Cayman Islands, Bahamas, Bermuda and the United States - which begins in the Cayman Islands on 18 April._Agencies.","canadian cricket captain arrest","cricket canada sai activ monitor situat captain nichola kirton arrest caribbean local report sai yearold detain barbado airport sundai potenti drug charg report bbc activ monitor situat close follow develop unfold cricket canada say statement take matter serious remain steadfast uphold high standard integr account within sport bbc sport contact barbado polic comment kirton bear barbado elig plai canada mother repres west indi under emigr canada make intern debut t match oman bat allround plai onedai intern ti appoint captain juli nativeclick ad canada prepar inaugur north american cup also featur cayman island bahama bermuda unit state begin cayman island aprilag"
"science-technology","https://www.risingbd.com/english/science-technology/news/111454","Pori Moni accused of assaulting domestic help","04/04/2025","Actress Pori Moni has been accused of physically assaulting her domestic worker in the capital. Pinky Akter, the domestic worker filed a general diary (GD) with the Vatara Police Station on Thursday (April 3). However, the issue came to the limelight today (April 4). Md Mazharul Islam, Officer-in-Charge (OC) of Vatara police station, said, “The victim filed a GD. We are investing the issue.” Pinky said that a month ago, she got a job at Parimoni's house in Bashundhara residential area through a person named Kader. Her primary responsibility was to take care of the actress’s child and ensure regular feeding. Recounting the incident, Pinky said, ""On April 2, I was preparing a grocery list when the baby started crying. A man named Sourav, a frequent visitor to the house, suggested giving the child solid food. I informed him that the baby had eaten solid food recently and was due for milk instead. As I was preparing the milk, Pori Moni came out of her makeup room and began shouting at me, using offensive language. She accused me of making decisions about her child’s feeding without her permission."" At one stage, Pori Moni slapped Pinky multiple times and hit her on the head, she added.","pori moni accus assault domest help","actress pori moni accus physic assault domest worker capit pinki akter domest worker file gener diari gd vatara polic station thursdai april howev issu come limelight todai april md mazharul islam officerincharg oc vatara polic station say victim file gd invest issu pinki say month ago get job parimoni hous bashundhara residenti area person name kader primari respons take care actress’ child ensur regular fee recount incid pinki say april prepar groceri list babi start cry man name sourav frequent visitor hous suggest give child solid food inform babi eat solid food recent due milk instead prepar milk pori moni come makeup room begin shout us offens languag accus make decis child’ fee without permiss on stage pori moni slap pinki multipl time hit head ad"
"science-technology","https://www.risingbd.com/english/science-technology/news/111455","Bangladesh deeply values its relationship with India: Dr Yunus","04/04/2025","Chief Adviser Professor Muhammad Yunus said, ""Bangladesh deeply values its relationship with India."" The Chief Adviser said this during a bilateral meeting with Narendra Modi on the sidelines of BIMSTEC Summit in Bangkok on Friday (April 4). ""The deep-rooted friendship between our two countries is founded on intertwined histories, geographical proximity, and cultural affinity. We remain thankful for the unwavering support of the government and people of India during our most challenging time in 1971."" The leaders of these two major South Asian countries greeted each other with mutual respect and a shared openness for dialogue. Their 40-minute exchange was candid, productive, and constructive. During the meeting, Indian Prime Minister Modi said the history of the two neighbours is intricately linked, and it goes back to the birth of Bangladesh. He said India would always support a progressive, democratic and inclusive Bangladesh. India's attachment is with a country, not with any individuals or political organisations, he said. The Indian premier recalled the global stature of Prof Yunus. NativeClick Ads Referring to the border killings, he said Indian border troops opened fire only in self-defence and the fatalities occurred in Indian territories. The two leaders stressed the need for working together to prevent killings along the Bangladesh-India border. They concluded their fruitful and honest dialogue by wishing each other good health and personal well-being and extended their best wishes for continued peace, progress, and prosperity for the people of both countries. Bangladesh Foreign Adviser Md Tauhid Hossain, Chief Adviser's High Representative Dr Khalilur Rahman, Indian Foreign Minister Subrahmanyam Jaishankar, National Security Adviser Ajit Doval were, among others, present._BSS.","bangladesh deepli valu relationship india dr yunu","chief advis professor muhammad yunu say bangladesh deepli valu relationship india chief advis say bilater meet narendra modi sidelin bimstec summit bangkok fridai april deeproot friendship two countri find intertwin histori geograph proxim cultur affin remain thank unwav support governmentern peopl india challeng time leader two major south asian countri greet mutual respect share open dialogu minut exchang candid product construct meet indian prime minist modi say histori two neighbour intric link goe back birth bangladesh say india alwai support progress democrat inclus bangladesh india attach countri individu polit organis say indian premier recal global statur prof yunu nativeclick ad refer border kill say indian border troop open fire selfdef fatal occur indian territori two leader stress need work togeth prevent kill along bangladeshindia border conclud fruit honest dialogu wish good health person wellb extend good wish continu peac progress prosper peopl countri bangladesh foreign advis md tauhid hossain chief advis high repres dr khalilur rahman indian foreign minist subrahmanyam jaishankar nation secur advis ajit doval among other presentbss"
"science-technology","https://www.risingbd.com/english/science-technology/news/111456","Chief Adviser returns home","05/04/2025","Chief Adviser Professor Muhammad Yunus returned home yesterday night wrapping up his two-day Thailand tour to join the sixth Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation (BIMSTEC) Summit. “A flight of Biman Bangladesh Airlines carrying the Chief Adviser and his entourage landed at Hazrat Shahjalal International Airport here at about 10:05pm,” Chief Adviser’s Deputy Press Secretary Abul Kalam Azad Majumder. During his brief visit to Bangkok, Prof Yunus spoke at BIMSTEC Young Gen Forum on the sidelines of BIMSTEC Summit on Thursday (April 3). He addressed the BIMSTEC Summit yesterday urging the BIMSTEC member states to work together for mutual interests and shared benefits. The Chief Adviser received the BIMSTEC chairmanship from Thailand Prime Minister Paetongtarn Shinawatra for the next two years. Earlier in the day, the Chief Adviser and Indian Prime Minister Narendra Modi joined a bilateral meeting on the sidelines of the BIMSTEC Summit. Besides, Prof Yunus held bilateral meetings with Thailand Prime Minister Paetongtarn Shinawatra, Bhutanese Prime Minister Dasho Tshering Tobgay, Sri Lankan Prime Minister Harini Amarasuriya and BIMSTEC Secretary General Indra Mani Pandey on the sidelines of the summit. Thai Minister for Social Development and Human Security (MSDHS) Varawut Silpa-archa and Thailand’s Minister attached to the Prime Minister’s Office Jiraporn Sindhuprai called on Prof Yunus yesterday. NativeClick Ads Prof Yunus reached the Thai capital on Thursday (April 3) to join the sixth BIMSTEC Summit.","chief advis return home","chief advis professor muhammad yunu return home yesterdai night wrap twodai thailand tour join 6 bai bengal initi multisector technic econom cooper bimstec summit flight biman bangladesh airlin carri chief advis entourag land hazrat shahjal intern airport pm chief adviser’ deputi press secretari abul kalam azad majumd brief visit bangkok prof yunu speak bimstec young gen forum sidelin bimstec summit thursdai april address bimstec summit yesterdai urg bimstec member state work togeth mutual interest share benefit chief advis receiv bimstec chairmanship thailand prime minist paetongtarn shinawatra next two year early dai chief advis indian prime minist narendra modi join bilater meet sidelin bimstec summit besid prof yunu hold bilater meet thailand prime minist paetongtarn shinawatra bhutanes prime minist dasho tshere tobgai sri lankan prime minist harini amarasuriya bimstec secretari gener indra mani pandei sidelin summit thai minist social develop human secur msdh varawut silpaarcha thailand’ minist attach prime minister’ offic jiraporn sindhuprai call prof yunu yesterdai nativeclick ad prof yunu reach thai capit thursdai april join 6 bimstec summit"
"science-technology","https://www.risingbd.com/english/science-technology/news/111457","18 killed in Russian attack on Zelensky’s home city","05/04/2025","A Russian missile attack on the central Ukrainian city of Kryvyi Rih has killed at least 18 people and left dozens wounded, the BBC reported quoting Ukrainian officials. Nine of the dead were children, said President Volodymyr Zelensky, who grew up in Kryvyi Rih. Local officials said a ballistic missile had hit a residential area. Images showed at least one victim lying in a playground, while a video showed a large section of a 10-storey block of flats destroyed and victims lying on the road. Russia’s defence ministry later claimed a “high-precision missile strike” had targeted a meeting of “unit commanders and Western instructors” in a restaurant, and that up to 85 were killed. It provided no evidence. Ukraine’s military responded by saying that Russia was spreading false information to try to “cover up its cynical crime”. It said Moscow had fired an Iskander-M ballistic missile with a cluster warhead to maximise casualties. The attack, early on Friday evening, was among the deadliest on Kryvyi Rih since the start of Russia’s full-scale invasion in 2022, and comes as US President Donald Trump pushes for a ceasefire. Zelensky wrote on social media that at least five buildings had been damaged in Friday's strike: “There is only one reason why this continues: Russia doesn't want a ceasefire, and we see it.” The head of Kryvyi Rih’s defence, Oleksandr Vilkul, said a residential area was hit. NativeClick Ads “The missile exploded in the air... to injure more people,” he said. “Children were killed on or near a playground.” Serhii Lysak, the head of the Dnipropetrovsk region where Kryvyi Rih is located, said more than 40 people were treated for wounds, and the youngest was only three months old. Later on Friday, Vilkul reported more explosions, saying the city was under a ""mass"" drone attack that triggered fires in at least four locations. He said one elderly woman burned to death in a private house hit by a drone. Another five people were injured elsewhere. Military chiefs from both the UK and France met Zelensky in Kyiv earlier in the day to discuss plans for foreign peacekeepers to be stationed in Ukraine as part of a potential ceasefire deal. But there has been little sign of a let-up in the violence. Kryvyi Rih also came under attack earlier this week when a building in the centre was struck, leaving four people dead. On Thursday, Russian drone strikes on the north-eastern city of Kharkiv claimed another five lives, local officials said. Kryvyi Rih is about 40 miles (70km) from the front line in eastern Ukraine and with a population of 600,000 it is reputed to be the longest city in Europe.","kill russian attack zelenski home citi","russian missil attack central ukrainian citi kryvyi rih kill less peopl leave dozen wind bbc report quot ukrainian offici nine dead child say presid volodymyr zelenski grow kryvyi rih local offici say ballist missil hit residenti area imag show less on victim ly playground video show larg section storei block flat destroi victim ly road russia’ defenc ministri late claim highprecis missil strike target meet unit command western instructor restaur kill provid evid ukraine’ militari respond sai russia spread fals inform try cover cynic crime say moscow fire iskanderm ballist missil cluster warhead maximis casualti attack earli fridai even among deadly kryvyi rih sinc start russia’ fullscal invas come u presid donald trump push ceasefir zelenski write social medium less five build damag fridai strike on reason continu russia want ceasefir see head kryvyi rih’ defenc oleksandr vilkul say residenti area hit nativeclick ad missil explod air injur peopl say child kill near playground serhii lysak head dnipropetrovsk region kryvyi rih locat say peopl treat wind young three month old late fridai vilkul report explos sai citi mass drone attack trigger fire less four locat say on elderli woman burn death privat hous hit drone anoth five peopl injur elsewher militari chief uk franc meet zelenski kyiv early dai discuss plan foreign peacekeep station ukrain part potenti ceasefir deal littl sign letup violenc kryvyi rih also come attack early week build centr strike leav four peopl dead thursdai russian drone strike northeastern citi kharkiv claim anoth five live local offici say kryvyi rih mile km front line eastern ukrain popul reput long citi europ"
"science-technology","https://www.risingbd.com/english/science-technology/news/111458","IMF delegation due in Dhaka today","05/04/2025","A delegation from the International Monetary Fund (IMF) is set to arrive in Dhaka on Saturday (April 5) to assess Bangladesh’s progress on various conditions before the disbursement of the next two tranches of the $4.7 billion loan agreement. The team is expected to hold a meeting with Finance Adviser Dr Salehuddin Ahmed on Sunday morning. According to the Finance Division of the Ministry of Finance, the team will engage in continuous discussions with various government departments for a two-week period starting from 6 April. During this visit, the IMF team is scheduled to meet officials of the Finance Division, National Board of Revenue (NBR), Power Division, Power Development Board, Bangladesh Energy Regulatory Commission (BERC), and Energy and Mineral Resources Division. On April 17, the mission will conclude with a press briefing to share its assessment and recommendations. Earlier on January 30, 2023, Bangladesh signed the loan agreement with the IMF and received the first tranche of $476.3 million in February 2023. The second tranche of $681 million was disbursed in December 2023, followed by the third tranche of $1.15 billion in June 2024. So far, the country has received a total of $2.31 billion, while $2.39 billion remains outstanding. NativeClick Ads The disbursement of the fourth and fifth tranches has encountered challenges, as Bangladesh must fulfil specific IMF conditions.","imf deleg due dhaka todai","deleg intern monetari fund imf set arriv dhaka saturdai april assess bangladesh’ progress variou condit disburs next two tranch billion loan agreement team expect hold meet financ advis dr salehuddin ahm sundai morn accord financ divis ministri financ team will engag continu discuss variou governmentern depart twoweek period start april visit imf team schedul meet offici financ divis nation board revenu nbr power divis power develop board bangladesh energi regulatori commiss berc energi miner resourc divis april mission will conclud press brief share assess recommend early januari bangladesh sign loan agreement imf receiv first tranch million februari 2 tranch million disburs decemb follow 3 tranch billion june far countri receiv total billion billion remain outstand nativeclick ad disburs 4 5 tranch encount challeng bangladesh must fulfil specif imf condit"
"science-technology","https://www.risingbd.com/english/science-technology/news/111459","6.9-magnitude quake jolts Papua New Guinea","05/04/2025","A powerful earthquake measuring 6.9 on the Richter scale struck the New Britain region in Papua New Guinea early Saturday. According to a post on X (formerly Twitter) by the National Center for Seismology, the earthquake occurred at 01:34:43 IST on April 5, 2025. The earthquake was centered 194 km southeast of Kimbe, the capital of the province of West New Britain, according to the US Geological Survey (USGS). The epicenter of the earthquake was located at 6.23 degrees South latitude and 151.64 degrees East longitude, with a depth of 10 kilometres. National Center for Seismology said in a post on X, “EQ of M: 6.9, On: 05/04/2025 01:34:43 IST, Lat: 6.23 S, Long: 151.64 E, Depth: 10 Km, Location: New Britain Region P.N.G..” The tremor was centred in the New Britain region of Papua New Guinea, an area known for seismic activity due to its location along the Pacific Ring of Fire. The quake prompted the US Tsunami Warning Center to issue a tsunami warning for the Pacific island nation, saying, “Hazardous tsunami waves are forecast for some coasts.” The National Oceanic and Atmospheric Administration (NOAA) and the National Weather Service issued a tsunami threat. A much smaller quake, with a preliminary magnitude of 5.3, occurred in nearly the same location about 30 minutes later, according to the USGS. There were no immediate details regarding damage or casualties. NativeClick Ads Authorities are monitoring the situation closely, and residents in the affected areas are advised to stay alert for any aftershocks. Further updates are expected as more information becomes available._Agencies","magnitud quak jolt papua new guinea","power earthquak measur richter scale strike new britain region papua new guinea earli saturdai accord post x formerli twitter nation center seismologi earthquak occur ist april earthquak center km southeast kimb capit provinc west new britain accord u geolog survei usg epicent earthquak locat degre south latitud degre east longitud depth kilometr nation center seismologi say post x eq be ist lat  long e depth km locat new britain region png tremor centr new britain region papua new guinea area know seismic activ due locat along pacif ring fire quak prompt u tsunami warn center issu tsunami warn pacif island nation sai hazard tsunami wave forecast coast nation ocean atmospher administr noaa nation weather servic issu tsunami threat much small quak preliminari magnitud occur nearli locat minut late accord usg immedi detail regard damag casualti nativeclick ad author monitor situat close resid affect area advis stai alert aftershock updat expect inform becom availableag"
"science-technology","https://www.risingbd.com/english/science-technology/news/111460","July uprising fighter Hridoy dies with bullet in his head","05/04/2025","A teenage boy, who sustained bullet injuries to head during the July uprising in Dhaka’s Jatrabari area, has passed away. He breathed his last while undergoing treatment at Bauphal upazila health complex in Patuakhali district on Friday (April 4). The deceased was identified as Ashiqur Rahman Hridoy, 17, son of Ansar Hawladar of west Jouta village in Bauphal. According to family members, Hridoy had been working in Dhaka and was shot in head on July 18, 2024, during the July uprising in the capital’s Jatrabari area. He had been undergoing treatment at Dhaka Medical College Hospital (DMCH), where doctors removed two of the three bullets pierced into his head through surgery. However, one bullet remained inside the head and it was not possible to extract from the head. On Friday (April 4) noon, Hridoy was rushed to Bauphal Upazila Health Complex after he fell critically ill on April 2. On-duty doctors there referred him to Barishal Sher-e-Bangla Medical College and Hospital, but it was not possible to take him to the hospital due to financial crisis. He died around 4 pm. NativeClick Ads With tearful voice, Hridoy’s father Ansar Hawladar said, “I tried my best to ensure better treatment for my son, even selling my rickshaw and a cow. If treatment abroad had been arranged, my son might have survived. Hridoy died due to lack of proper treatment.” Bauphal Upazila Health and Family Planning Officer Dr. A. Rouf said, “Hridoy was brought to the hospital around 12 pm. His condition was critical. We referred him to Barishal, but we could not take him to the hospital in time. He died at 4 pm.”","juli upris fighter hridoi di bullet head","teenag boi sustain bullet injuri head juli upris dhaka’ jatrabari area pass awai breath last undergo treatment bauphal upazila health complex patuakhali district fridai april deceas identifi ashiqur rahman hridoi son ansar hawladar west jouta villag bauphal accord famili member hridoi work dhaka shoot head juli juli upris capital’ jatrabari area undergo treatment dhaka medic colleg hospit dmch doctor remov two three bullet pierc head surgeri howev on bullet remain insid head possibl extract head fridai april noon hridoi rush bauphal upazila health complex fall critic ill april onduti doctor refer barish sherebangla medic colleg hospit possibl take hospit due financi crisi di around prime minist nativeclick ad tear voic hridoy’ father ansar hawladar say tri good ensur good treatment son even sell rickshaw cow treatment abroad arrang son may surviv hridoi di due lack proper treatment bauphal upazila health famili plan offic dr rouf say hridoi bring hospit around prime minist condit critic refer barish take hospit time di prime minist"
"science-technology","https://www.risingbd.com/english/science-technology/news/111461","Clash erupts over dominance, over hundred hand bombs blasted","05/04/2025","A clash erupted between two rival groups over establishing supremacy at Jazira upazila in Shariatpur. During the clash, more than a hundred hand bombs were detonated. The incident happened in the Durbadanga area of Bilaspur Union in Jazira Upazila of the district on Saturday (April 5) morning. However, no casualties have been reported so far. According to local sources and police, a dispute over establishing supremacy had been underway for long between the supporters of Bilaspur Union Chairman Kuddus Bepari and Swechchhasebak League leader Jalil Madbar. Several clashes have taken place in the past due to this rivalry. On Saturday morning, a clash between supporters of both sides in the Durbadanga area erupted over a trifling matter. During the clash, more than a hundred hand bombs were exploded. Later, police arrived at the scene and brought the situation under control. Meanwhile, a 15-second video of the clash and hand bomb explosions has gone viral on social media, particularly on Facebook. In the video, both sides can be seen facing off in an open field. Many individuals are seen wearing helmets and carrying buckets. Both groups are seen throwing hand bombs, which explode with loud bangs and produce thick smoke. Dulal Akhand, Officer-in-Charge (OC) of Jazira Police Station, confirmed the incident and said legal action will be taken in this regard.","clash erupt domin hundr hand bomb blast","clash erupt two rival group establish supremaci jazira upazila shariatpur clash hundr hand bomb deton incid happen durbadanga area bilaspur union jazira upazila district saturdai april morn howev casualti report far accord local sourc polic disput establish supremaci underwai long support bilaspur union chairman kuddu bepari swechchhasebak leagu leader jalil madbar sever clash take place past due rivalri saturdai morn clash support side durbadanga area erupt trifl matter clash hundr hand bomb explod late polic arriv scene bring situat control meanwhil 2 video clash hand bomb explos go viral social medium particularli facebook video side can see face open field mani individu see wear helmet carri bucket group see throw hand bomb explod loud bang produc thick smoke dulal akhand officerincharg oc jazira polic station confirm incid say legal action will take regard"
